บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,,,,,
จำนวน,รหัสสินค้า,รายการสินค้า,หน่วยบรรจุ,ราคาต่อหน่วย (รวม VAT),ส่วนลด บาท,VAT CODE,จำนวนเงิน (รวม VAT)
1.000,08851932354110,8 ซันซิลแชมพู แดเมจริสโตร์ ส์ม 60มล,,20.000,,,20.00 บาท
1.000,06920890700610,จูปาจุปส์ออริจินอล 9.5n.,,5.000,,,5.00 บาท
1.000,08850999321004,8 สิงห์น้าดื่ม 600มล.,,7.000,,,7.00 บาท
1.000,08935001723073,จูปาจุปส์ติปแอนด์ลิค 9 n.,,7.000,,,7.00 บาท
1.000,03046920029582,"ลินต์ เอ็กเซอร์แลนซ์ตาร์ก 85% โกโก้35ก,",,49.000,,,49.00 บาท
1.000,09556001027252,"คิทแคทชอคโกแลตพรีเมียม 35ก,",,28.000,,,28.00 บาท
ยอดเงินชำระ,,,,,,,116.00
